Feature,Kuler,ColorLovers,Mturk
chsv-D1-C1,0.1,0,0
 chsv-D2-C1,-0.09,0,0
 chsv-D3-C1,0,-0.08,0
 chsv-D1-C2,0.01,0,0
 chsv-D2-C2,0,0,0
 chsv-D3-C2,0,0,0
 chsv-D1-C3,0,0,0.02
 chsv-D2-C3,-0.09,0,0
 chsv-D3-C3,-0.04,0,0
 chsv-D1-C4,0,0,0.04
 chsv-D2-C4,0,0,0
 chsv-D3-C4,0,0,-0.02
 chsv-D1-C5,0.04,0,0
 chsv-D2-C5,-0.12,0.01,0
 chsv-D3-C5,-0.08,0,-0.05
 chsvSorted-D1-C1,0.03,0.11,0
 chsvSorted-D2-C1,0,-0.06,0.1
 chsvSorted-D3-C1,-0.48,-0.21,0
 chsvSorted-D1-C2,0.01,-0.03,0.07
 chsvSorted-D2-C2,-0.01,-0.02,0.09
 chsvSorted-D3-C2,-0.24,-0.32,0
 chsvSorted-D1-C3,0,0,0.11
 chsvSorted-D2-C3,-0.01,0,0
 chsvSorted-D3-C3,-0.09,0,0
 chsvSorted-D1-C4,0.04,0.1,0.1
 chsvSorted-D2-C4,0,0.04,-0.05
 chsvSorted-D3-C4,-0.13,0.11,0.04
 chsvSorted-D1-C5,0.14,0.22,0.11
 chsvSorted-D2-C5,-0.04,0.14,-0.08
 chsvSorted-D3-C5,0,0.12,0
 chsvDiff-D1-C1,0,0.01,0
 chsvDiff-D1-C2,0,-0.09,0.07
 chsvDiff-D1-C3,0,0.12,0
 chsvDiff-D1-C4,0,0,0
 chsvDiff-D2-C1,0.06,-0.2,0.03
 chsvDiff-D2-C2,0,0,-0.05
 chsvDiff-D2-C3,0,0.13,0
 chsvDiff-D2-C4,0,0,-0.03
 chsvDiff-D3-C1,0,0.18,0
 chsvDiff-D3-C2,0,0,0
 chsvDiff-D3-C3,0,0,-0.01
 chsvDiff-D3-C4,0,-0.16,0
 chsvSortedDiff-D1-C1,0,-0.26,-0.08
 chsvSortedDiff-D1-C2,-0.08,0.04,0.07
 chsvSortedDiff-D1-C3,0.05,0.15,0
 chsvSortedDiff-D1-C4,0.09,0.2,0.16
 chsvSortedDiff-D2-C1,-0.13,0,-0.08
 chsvSortedDiff-D2-C2,-0.23,0.15,0
